Valuation Date, Symbology, Ticker, Field Name, Value
2020-04-17, muRisQ-Ticker,USD-SOFR, MarketValue,0.0003
2020-04-17, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-1W, MarketValue,0.00065
2020-04-17, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-1M, MarketValue,0.00075
2020-04-17, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-2M, MarketValue,0.00085
2020-04-17, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-3M, MarketValue,0.00085
2020-04-17, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-4M, MarketValue,0.00085
2020-04-17, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-5M, MarketValue,0.00085
2020-04-17, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-6M, MarketValue,0.00085
2020-04-17, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-7M, MarketValue,0.00085
2020-04-17, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-8M, MarketValue,0.00085
2020-04-17, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-9M, MarketValue,0.00085
2020-04-17, muRisQ-Ticker,USD-FIXED-1Y-SOFR-OIS-1Y, MarketValue,0.00085
